Time(s)	Position(mm)
41.9622	43.861218
42.0247	43.854397
42.0881	43.847866
42.1505	43.841987
42.2121	43.835488
42.2752	43.829597
42.3369	43.822766
42.3994	43.817136
42.4622	43.810308
42.5234	43.804746
42.5855	43.798828
42.6487	43.792297
42.7115	43.785476
42.7730	43.779558
42.8346	43.773037
42.8961	43.767158
42.9580	43.761516
43.0208	43.754717
43.0818	43.748857
43.1444	43.742327
43.2061	43.736416
43.2687	43.729888
43.3305	43.723967
43.3936	43.717158
43.4565	43.711597
43.5193	43.704788
43.5810	43.699148
43.6437	43.692327
43.7070	43.686748
43.7681	43.679917
43.8308	43.674026
43.8923	43.667498
43.9544	43.661587
44.0165	43.655078
44.0786	43.649197
44.1399	43.643257
44.2031	43.636736
44.2652	43.630867
44.3284	43.624358
44.3905	43.617556
44.4522	43.611648
44.5144	43.605117
44.5769	43.599187
44.6396	43.592678
44.7021	43.586807
44.7650	43.579998
44.8272	43.574377
44.8889	43.567556
44.9504	43.561948
45.0121	43.556057
45.0746	43.549536
45.1365	43.543618
45.2004	43.536816
45.2613	43.530308
45.3241	43.524417
45.3863	43.517908
45.4498	43.511987
45.5106	43.506106
45.5728	43.499597
45.6352	43.493738
45.6981	43.487207
45.7597	43.481257
45.8225	43.474448
45.8848	43.468877
45.9471	43.462078
46.0092	43.456458
46.0729	43.449658
46.1359	43.442827
46.1979	43.437207
46.2590	43.431348
46.3205	43.424827
46.3830	43.418896
46.4453	43.412388
46.5073	43.406526
46.5697	43.399697
46.6328	43.394087
46.6945	43.387278
46.7586	43.381648
46.8211	43.374856
46.8840	43.368977
46.9461	43.362466
47.0084	43.356516
47.0711	43.349988
47.1337	43.343196
47.1962	43.337327
47.2590	43.330828
47.3210	43.324917
47.3830	43.318386
47.4434	43.312456
47.5055	43.305647
47.5678	43.300088
47.6303	43.294167
47.6920	43.287646
47.7547	43.281758
47.8172	43.275256
47.8801	43.269348
47.9422	43.262546
48.0041	43.256917
48.0667	43.250098
48.1296	43.243606
48.1901	43.237727
48.2533	43.231797
48.3152	43.225266
48.3781	43.219387
48.4408	43.212898
48.5014	43.207017
48.5651	43.200198
48.6278	43.194558
48.6901	43.187727
48.7527	43.182146
48.8163	43.175337
48.8786	43.168528
48.9392	43.162917
49.0025	43.157007
49.0651	43.150498
49.1277	43.144617
49.1886	43.138086
49.2509	43.132158
49.3126	43.125347
49.3745	43.119768
49.4370	43.112937
49.4999	43.107327
49.5631	43.100508
49.6259	43.094597
49.6873	43.088086
49.7498	43.082227
49.8118	43.075718
49.8740	43.069756
49.9361	43.062927
49.9992	43.057346
50.0618	43.050537
50.1251	43.044946
50.1866	43.038137
50.2485	43.032517
50.3118	43.025686
50.3739	43.019797
50.4352	43.013296
50.4976	43.007378
50.5598	43.000847
50.6216	42.994978
50.6833	42.988137
50.7450	42.982546
50.8079	42.976616
50.8710	42.970127
50.9333	42.963308
50.9960	42.957456
51.0582	42.950947
51.1201	42.945017
51.1826	42.938477
51.2442	42.932588
51.3075	42.925796
51.3695	42.920217
51.4319	42.913428
51.4955	42.907788
51.5586	42.900957
51.6203	42.894148
51.6819	42.888577
51.7455	42.882676
51.8074	42.876147
51.8703	42.870266
51.9315	42.863757
51.9942	42.857856
52.0569	42.851057
52.1198	42.845417
52.1838	42.838618
52.2446	42.832097
52.3070	42.826238
52.3699	42.820308
52.4313	42.813777
52.4947	42.807888
52.5575	42.801367
52.6201	42.794568
52.6832	42.788687
52.7465	42.782168
52.8092	42.776206
52.8720	42.769688
52.9353	42.763828
52.9977	42.757017
53.0594	42.751426
53.1221	42.744607
53.1843	42.738987
53.2463	42.732156
53.3073	42.726587
53.3694	42.719778
53.4304	42.713867
53.4927	42.707336
53.5560	42.701448
53.6179	42.694946
53.6796	42.689026
53.7426	42.683108
53.8060	42.676606
53.8674	42.669797
53.9291	42.664236
53.9907	42.658296
54.0534	42.651477
54.1152	42.645867
54.1782	42.639067
54.2406	42.632556
54.3031	42.626677
54.3659	42.619856
54.4290	42.614216
54.4912	42.607397
54.5552	42.601816
